Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2.652000,0.487570,0.441000,0.359460,0.749278,0.749369,2025-02-05 05:00:33.552
2.662000,0.487700,0.441110,0.359230,0.749317,0.749347,2025-02-05 05:00:33.552
2.671000,0.487610,0.441040,0.359290,0.749246,0.749350,2025-02-05 05:00:33.552
2.680000,0.487380,0.441110,0.359210,0.749099,0.749358,2025-02-05 05:00:33.580
2.690000,0.488220,0.441370,0.359460,0.749918,0.749444,2025-02-05 05:00:33.580
2.699000,0.488200,0.441060,0.359230,0.749613,0.749478,2025-02-05 05:00:33.580
2.708000,0.487760,0.440870,0.359040,0.749123,0.749447,2025-02-05 05:00:33.608
2.718000,0.487940,0.440930,0.359350,0.749425,0.749405,2025-02-05 05:00:33.608
2.727000,0.487740,0.441020,0.359050,0.749203,0.749377,2025-02-05 05:00:33.608
2.736000,0.488260,0.440610,0.359020,0.749287,0.749351,2025-02-05 05:00:33.635
2.745000,0.487770,0.440900,0.359520,0.749378,0.749361,2025-02-05 05:00:33.635
2.755000,0.487940,0.441020,0.359490,0.749545,0.749384,2025-02-05 05:00:33.635
2.764000,0.487850,0.440610,0.359400,0.749202,0.749379,2025-02-05 05:00:33.663
2.773000,0.487730,0.440650,0.359390,0.749142,0.749384,2025-02-05 05:00:33.663
2.783000,0.487290,0.440320,0.359470,0.748700,0.749262,2025-02-05 05:00:33.663
2.792000,0.487780,0.440960,0.359480,0.749400,0.749240,2025-02-05 05:00:33.691
2.801000,0.487610,0.441110,0.359400,0.749340,0.749262,2025-02-05 05:00:33.691
2.811000,0.487810,0.441290,0.359470,0.749609,0.749281,2025-02-05 05:00:33.691
2.820000,0.488260,0.441390,0.359480,0.749966,0.749357,2025-02-05 05:00:33.719
2.829000,0.487340,0.441570,0.359230,0.749353,0.749364,2025-02-05 05:00:33.719
2.838000,0.487680,0.441670,0.358870,0.749461,0.749372,2025-02-05 05:00:33.719
