Time,X,Y,Z
5.692,0.12215,-0.23375,0.22528
5.702,0.12244,-0.23391,0.22513
5.711,0.12268,-0.2336,0.22528
5.72,0.12271,-0.23365,0.22504
5.73,0.12228,-0.23349,0.2251
5.739,0.12223,-0.23364,0.22503
5.749,0.12277,-0.23357,0.22485
5.758,0.12196,-0.23348,0.22525
5.767,0.12307,-0.23372,0.22546
5.777,0.12253,-0.23374,0.22582
5.786,0.1228,-0.23391,0.22501
5.795,0.12283,-0.23343,0.2251
5.805,0.12261,-0.2338,0.22511
5.814,0.12162,-0.23358,0.22545
5.824,0.12174,-0.2339,0.22548
5.833,0.12261,-0.23359,0.22523
5.842,0.12184,-0.23331,0.22554
5.852,0.12187,-0.23354,0.22608
5.861,0.12209,-0.23347,0.22521
5.87,0.12232,-0.23355,0.22512
5.88,0.12235,-0.23314,0.22545
5.889,0.12267,-0.2341,0.22523
5.899,0.1226,-0.23395,0.22563
5.908,0.12259,-0.23393,0.22567
5.917,0.12227,-0.2341,0.22567
5.927,0.12234,-0.23403,0.22534
5.936,0.1217,-0.23386,0.22589
5.945,0.12196,-0.23384,0.22603
5.955,0.12199,-0.23376,0.22588
5.964,0.1221,-0.23366,0.22603
5.974,0.12232,-0.23365,0.22571
5.983,0.12235,-0.23357,0.22576
5.992,0.1217,-0.23356,0.2256
6.002,0.12228,-0.23323,0.22558
6.011,0.12234,-0.23369,0.22533
6.02,0.12246,-0.23316,0.22589
6.03,0.1229,-0.23335,0.22519
6.039,0.12284,-0.23346,0.22529
6.048,0.12294,-0.23405,0.2253
6.058,0.12295,-0.23394,0.22496
6.067,0.12273,-0.23385,0.22535
6.077,0.12282,-0.23359,0.22564
6.086,0.12283,-0.23398,0.22542
6.095,0.12294,-0.23394,0.22514
6.105,0.12273,-0.23393,0.22503
6.114,0.12228,-0.2341,0.2251
6.123,0.12256,-0.2337,0.22553
6.133,0.12269,-0.23366,0.22549
6.142,0.12238,-0.23349,0.22549
6.152,0.12268,-0.23364,0.22532
6.161,0.12281,-0.23357,0.22555
6.17,0.12261,-0.23406,0.22532
6.18,0.12302,-0.23395,0.22539
6.189,0.12274,-0.23402,0.22514
6.198,0.12217,-0.23361,0.22554
6.208,0.12266,-0.2334,0.22532
6.217,0.12206,-0.23329,0.22564
6.227,0.12232,-0.23295,0.22516
6.236,0.12213,-0.23333,0.22537
